34	1	340	243
34	2	-19	227
34	3	184	229
34	6	-1201	205
34	7	238	57
35	1	340	243
35	2	-19	227
35	3	183	229
35	6	-1087	205
35	7	237	57
36	1	339	243
36	2	-18	227
36	3	182	228
36	6	-1019	205
36	7	237	57
37	1	338	243
37	2	-17	227
37	3	181	229
37	6	-928	208
37	7	237	57
38	1	338	243
38	2	-18	227
38	3	180	229
38	6	-831	209
38	7	237	57
39	1	339	243
39	2	-18	227
39	3	180	229
39	6	-760	209
39	7	237	57
40	1	339	243
40	2	-18	228
40	3	179	229
40	6	-718	207
40	7	237	57
41	1	340	243
41	2	-18	227
41	3	179	229
41	6	-687	207
41	7	237	57
42	1	340	244
42	2	-18	228
42	3	179	229
42	6	-614	208
42	7	237	57
42	11	694	43
43	1	340	243
43	2	-18	228
43	3	178	229
43	6	-574	209
43	7	238	57
43	11	693	40
44	1	340	244
44	2	-18	229
44	3	178	229
44	6	-559	209
44	11	691	39
44	12	-363	197
45	1	340	243
45	2	-18	229
45	3	178	229
45	11	691	38
45	12	-386	197
45	6	-559	209
46	1	339	243
46	2	-18	229
46	3	178	228
46	11	690	33
46	6	-459	209
47	1	338	243
47	2	-18	229
47	3	177	227
47	11	690	34
47	6	-425	209
48	1	338	243
48	2	-18	228
48	3	176	226
48	11	689	29
48	6	-391	208
49	1	338	243
49	2	-18	228
49	3	176	226
49	11	683	26
49	6	-374	207
50	1	337	243
50	2	-18	228
50	3	175	226
50	11	685	29
50	6	-350	207
51	1	333	244
51	2	-18	228
51	3	174	228
51	11	680	28
51	6	-345	208
52	1	333	244
52	2	-19	228
52	3	174	229
52	11	679	27
52	6	-332	210
53	1	333	244
53	2	-19	228
53	3	173	228
53	11	678	22
53	6	-330	208
54	1	332	244
54	2	-19	229
54	3	172	226
54	11	679	23
54	6	-326	208
55	1	332	244
55	2	-20	228
55	3	171	225
55	11	682	22
55	6	-321	208
56	1	335	244
56	2	-20	227
56	3	170	225
56	11	687	21
56	6	-301	204
57	1	335	244
57	2	-21	226
57	3	170	222
57	11	693	21
57	6	-285	196
58	1	332	244
58	2	-22	226
58	3	169	223
58	11	692	21
58	6	-274	191
58	7	238	57
59	1	334	243
59	2	-23	226
59	3	169	224
59	11	704	21
59	6	-263	188
59	13	212	76
59	7	238	57
60	1	335	244
60	2	-23	227
60	3	168	224
60	11	713	21
60	6	-248	185
60	13	212	79
60	7	238	57
61	1	332	244
61	2	-24	227
61	3	167	222
61	6	-235	187
61	13	212	78
61	7	238	57
62	1	334	244
62	2	-24	227
62	3	166	221
62	6	-225	185
62	13	213	78
62	7	238	57
63	1	335	244
63	2	-25	226
63	3	166	219
63	6	-215	186
63	13	213	77
63	7	238	57
64	1	336	244
64	2	-25	228
64	3	166	220
64	6	-204	186
64	13	213	78
64	7	238	57
65	1	336	243
65	2	-27	229
65	3	165	219
65	6	-194	186
65	13	213	79
66	1	336	243
66	2	-29	229
66	3	165	219
66	6	-186	186
66	13	213	78
